Patient ID,First Name,Last Name,Date of Birth,Gender,SSN,Phone Number,Medical Condition,Medication,Street Address,City,State,Zip Code
P676743,Laura,Hines,1947-06-25,Female,756-45-8929,795-630-3481,Hypertension,Loratadine,388 Parks View Apt. 267,New Andreport,PR,47292
P643397,Dawn,Bell,1997-06-08,Male,067-72-6250,242-880-7150,Flu,Simvastatin,24805 Jose Plains Suite 129,North Kathleenfurt,NV,04443
P847823,Frank,Nicholson,1960-08-03,Female,852-71-5323,896-672-7969,Diabetes,Zanamivir,41198 Micheal Alley,Caseyshire,RI,34420
P243422,Brandon,Edwards,1957-06-21,Female,358-21-4463,880-635-2745,Hypertension,Fluoxetine,3105 Joshua Loaf Suite 406,West Leah,MO,67051
P86976,Edward,Adams,1990-04-05,Male,825-68-7513,492-890-5783,Allergies,Simvastatin,83418 Cole Port Suite 990,Port Wendy,TN,02864
P416679,Lorraine,Hensley,1947-03-26,Male,225-57-6384,842-263-4462,Insomnia,Ibuprofen,11192 Watts Forest Suite 295,Susanville,UT,70867
P680406,Becky,Torres,1976-01-12,Female,050-06-6887,387-658-6720,Hypertension,Amlodipine,64582 Barbara Club Apt. 647,Davidsonton,MA,75202
P687668,Martin,Mosley,1958-08-12,Female,514-56-2907,970-552-7293,High Cholesterol,Fluoxetine,673 Samantha Ridge Suite 580,Bennettmouth,RI,34679
P105299,Amy,Mills,1993-11-21,Female,777-25-3516,662-519-6753,Flu,Amlodipine,4320 Aaron Trace Suite 046,Paulaview,ND,10067
P920320,Matthew,Lewis,1944-09-03,Female,817-14-4604,884-662-3169,High Cholesterol,Rosuvastatin,81955 Young Rapid Suite 446,New Sharon,FL,57171
P284776,Carlos,Hampton,1985-09-30,Male,384-31-3074,651-271-6795,Insomnia,Propranolol,844 Paul Brooks Suite 625,Jamesburgh,DE,81476
P383145,Cody,Watson,1971-02-15,Male,356-90-7335,629-856-6287,High Cholesterol,Rosuvastatin,48003 Reeves Vista,Kennethville,LA,38597
P867752,David,Mckee,1977-06-12,Female,444-85-6265,423-939-8838,Flu,Loratadine,602 David Mountains Apt. 291,Raymondtown,AR,40743
P225356,Briana,Mcdonald,1991-10-27,Female,801-71-8941,662-717-6010,High Cholesterol,Esomeprazole,4278 Tasha Island Apt. 389,Deborahberg,OK,81650
P640604,Christian,Nguyen,1951-01-20,Male,310-03-7213,958-997-5845,Allergies,Zolpidem,635 Joshua Mountains,Turnerstad,CO,87913
